"","experiment","metric","measure","fit","beta_0","beta_1","se_0","se_1","reff_subj_0_sd","reff_subj_1_sd","reff_item_0_sd","reff_item_1_sd","reff_subj_cor","reff_item_cor","res_sd"
"1","Coordination","gaze_duration","MoTR","good",5.8306830657421,0.056712515698952,0.0359759647514958,0.0235246509963105,0.224594372499801,0.102764304287437,0.150126847119792,0.0686053328841484,0.18228649664638,0.348445533843909,0.373038227840235
"2","Coordination","go_past_time","MoTR","good",5.87228851807815,0.0625129804320799,0.0364278171995424,0.0251825599323304,0.229584597387564,0.128866068374159,0.149164882681424,0.0556301087152068,0.369774569371616,0.861705180141688,0.444285528876484
"3","Coordination","go_past_time","G-Maze","ill",7.17707385321237,-0.0188618223994372,0.051349164261063,0.0319419578169268,0.254032010241854,0.0816024820073217,0.14280018580467,0.0571680512041186,-0.465509839707609,1,0.346966319100983
"4","Coordination","go_past_time","A-Maze","ill",7.04044632058563,0.0887601298696074,0.0551250080918809,0.029403065778108,0.304266136277168,0.0706764568038611,0.108538565166657,0.0278022973157123,0.479282307483862,-0.999999971508877,0.340461361926753
"5","Coordination","go_past_time","SPR","ill",5.63977656355298,0.0250455772407024,0.0914207015543254,0.0268606588306931,0.633304133784268,0.093323816518586,0.0328413790862223,0.0270039391058282,-0.0985190546576318,-0.999999776830624,0.387006272212842
"6","Coordination","total_duration","MoTR","good",5.97321957290897,0.109741873019124,0.0457676543141957,0.0263078962871013,0.24142368102594,0.125433565709439,0.198617378504938,0.0511562279309664,-0.0193663893662537,0.995115498957497,0.504165690324762
"7","Relative Clause","gaze_duration","MoTR","ill",5.98012003773339,0.037074152633488,0.0214248720937934,0.0191302311708017,0.249059481311745,0.0584888614446532,0.0372490864512899,0.0455533371678755,1,-0.667620731524223,0.39790626579883
"8","Relative Clause","go_past_time","MoTR","good",6.05252046910235,0.0807957054848601,0.0253668097668543,0.0260783890197177,0.292742193224683,0.102906798868566,0.0415603964247432,0.0685210337429377,0.999999515808795,-0.575692306650791,0.509099232828666
"9","Relative Clause","go_past_time","G-Maze","good",6.82870296976944,0.115013725408847,0.041472790346208,0.0392668790299307,0.230794267069341,0.113163821675319,0.0700330725490747,0.114966467143335,0.04188636158775,-0.223430361462758,0.330424378094757
"10","Relative Clause","go_past_time","A-Maze","good",6.71624113331277,0.0917920982253821,0.0364810109487194,0.0313090547072312,0.186549681404955,0.0811689539679109,0.0810369085668122,0.0705196018930432,0.0604428220416422,0.719414618252687,0.309815171049478
"11","Relative Clause","go_past_time","SPR","good",5.72652528438353,-0.00726226469551714,0.101331793174549,0.0277944133186103,0.701876169600275,0.0557627519506677,0.0319058964013802,0.0212340889338985,-0.0545751837078818,-0.999993226855162,0.444466127806712
"12","Relative Clause","total_duration","MoTR","ill",6.24118752277925,0.156223421119944,0.0310973737385122,0.0343167917186565,0.34009132932394,0.0926909382146211,0.0729634547300581,0.124939532780805,0.999999960209479,-0.166654358745116,0.552077574342034
"13","Adverb","gaze_duration","MoTR","good",6.00517830289012,0.0853905224094689,0.0383531145305814,0.0170034193427454,0.280954536975402,0.141517098800574,0.155427691141025,0.0275582179877284,0.219894456342334,0.668773147009271,0.347897085671079
"14","Adverb","go_past_time","MoTR","good",6.1007664210133,0.182677763277334,0.0436872211828944,0.0308927498182291,0.324334155934126,0.226958073343219,0.174995789616477,0.100775583162036,0.469960530466666,0.726569136468484,0.450428723701882
"15","Adverb","go_past_time","G-Maze","good",6.89408425156672,0.226530521167931,0.0714237651179892,0.0588029661438419,0.414693345559294,0.179264310265087,0.063986013347551,0.137165534659851,0.84084008705473,0.236811890015686,0.287652849956415
"16","Adverb","go_past_time","A-Maze","ill",6.73771923767245,0.207851812167754,0.049789503686381,0.0328878091951732,0.297305881429696,0.134455990551756,0.0667657118595062,0.0543379841511022,0.926502553800933,1,0.293695237568697
"17","Adverb","go_past_time","SPR","ill",5.65122487575979,0.0156092369740893,0.0905176121770557,0.0229977966047768,0.62780249019509,0.00717359807405805,0.0212498062640527,0.00139711800023387,1,-0.999969869296537,0.392547309954135
"18","Adverb","total_duration","MoTR","good",6.13300975645345,0.200345867592696,0.0437333460289511,0.0284955349495416,0.310463516562977,0.213934766302808,0.179027134246326,0.0904663258900485,0.33626430950095,0.611518410518155,0.430125480776855
