sbm_id,para_nr,word_nr,word,duration,start_t,end_t,x_mean,y_mean,response
6,1,0, In ,304,2106,2410,470.67,82.33,advantages
6,1,1, my ,597,2410,3007,502.83,85.5,advantages
6,1,2, younger ,300,3007,3307,549,86,advantages
6,1,3, and ,499,3307,3806,585.2,89,advantages
6,1,4, more ,204,3806,4010,648,80,advantages
6,1,5, vulnerable ,496,4010,4506,676.6,81.8,advantages
6,1,6, years ,500,4506,5006,766.2,90,advantages
6,1,7, my ,100,5006,5106,819,89,advantages
6,1,8, father ,500,5106,5606,850,82.8,advantages
6,1,10, me ,1404,5606,7010,938.14,86.07,advantages
6,1,8, father ,98,7010,7108,823,93,advantages
6,1,34, remember ,399,7108,7507,504.75,163.75,advantages
6,1,23, Whenever ,398,7507,7905,483.75,132,advantages
6,1,11, some ,103,7905,8008,496,121,advantages
6,1,12, advice ,502,8008,8510,551.6,115.6,advantages
6,1,14, I've ,100,8510,8610,610,113,advantages
6,1,15, been ,400,8610,9010,659.75,107,advantages
6,1,16, turning ,400,9010,9410,722.25,112,advantages
6,1,17, over ,100,9410,9510,758,111,advantages
6,1,19, my ,397,9510,9907,815.25,107,advantages
6,1,20, mind ,103,9907,10010,846,110,advantages
6,1,21, ever ,398,10010,10408,882.25,114,advantages
6,1,22, since. ,499,10408,10907,936.2,114,advantages
6,1,27, criticizing ,98,10907,11005,694,134,advantages
6,1,34, remember ,400,11005,11405,534.75,156.25,advantages
6,1,23, Whenever ,401,11405,11806,504.75,146.25,advantages
6,1,24, you ,104,11806,11910,578,152,advantages
6,1,25, feel ,100,11910,12010,605,151,advantages
6,1,26, like ,100,12010,12110,639,148,advantages
6,1,27, criticizing ,598,12110,12708,684.33,142,advantages
6,1,28," anyone, ",297,12708,13005,763.33,141.67,advantages
6,1,29, he ,104,13005,13109,805,141,advantages
6,1,30, told ,99,13109,13208,828,145,advantages
6,1,31, me ,497,13208,13705,857.2,144,advantages
6,1,32," had, ",202,13705,13907,905,151.5,advantages
6,1,33, 'just ,299,13907,14206,938,148.67,advantages
6,1,28," anyone, ",104,14206,14310,784,150,advantages
6,1,34, remember ,700,14310,15010,502.29,172.57,advantages
6,1,35, that ,97,15010,15107,569,171,advantages
6,1,36, all ,500,15107,15607,591,172.8,advantages
6,1,38, people ,1303,15607,16910,658.92,173.08,advantages
6,1,39, in ,95,16910,17005,710,174,advantages
6,1,40, this ,505,17005,17510,743.4,177.8,advantages
6,1,41, world ,196,17510,17706,782,174.5,advantages
6,1,42, haven't ,603,17706,18309,829.5,172.17,advantages
6,1,43, had ,200,18309,18509,869,166,advantages
6,1,40, this ,98,18509,18607,739,165,advantages
6,1,47, you've ,98,18607,18705,600,204,advantages
6,1,45, advantages ,601,18705,19306,515.5,194.17,advantages
6,1,46, that ,100,19306,19406,564,191,advantages
6,1,47, you've ,503,19406,19909,613.4,187.2,advantages
6,1,48, had. ,4195,19909,24104,670.79,206.95,advantages
6,2,34," pennies, ",700,1318,2018,484.86,168.29,Boo
6,2,35, and ,200,2018,2218,546,171,Boo
6,2,36, our ,499,2218,2717,584.6,170.2,Boo
6,2,37, lives. ,2728,2717,5445,637.61,175.75,Boo
6,3,58, then ,1099,38,1137,966,205,account
6,3,95, it ,297,1137,1434,470.33,281.67,account
6,3,96, in ,307,1434,1741,487.33,277.67,account
6,3,97, my ,395,1741,2136,499.5,277,account
6,3,98, next ,198,2136,2334,547.5,277,account
6,3,99, excursion. ,2881,2334,5215,600.38,286.72,account
6,4,48, prayer; ,2793,12,2805,611.46,202.04,armpits
6,4,49, This ,100,2805,2905,544,192,armpits
6,4,50, head ,496,2905,3401,569.2,193.4,armpits
6,4,51, more ,104,3401,3505,649,195,armpits
6,4,52, than ,497,3505,4002,685,195,armpits
6,4,53," churches, ",103,4002,4105,721,198,armpits
6,4,54," bibles, ",497,4105,4602,800.8,199.8,armpits
6,4,56, all ,498,4602,5100,879,201,armpits
6,4,58, creeds. ,2866,5100,7966,965,201.86,armpits
